year,Month,DayofWeek,Hour,minute,SiteOutdoorAirDrybulbTemperature,dew_point,SiteOutdoorAirRelativeHumidity,datetime,lpd_average,epd_average,HeatingElectricity,CoolingElectricity
1999,1,1,1,0,-3.0,-4.0,92.0,1/1/2017 0:00,9.4,12,0.0,0.0
1999,1,1,2,0,-3.0,-6.0,77.0,1/1/2017 1:00,9.4,12,0.0,0.0
1999,1,1,3,0,-4.0,-7.0,77.0,1/1/2017 2:00,9.4,12,0.0,0.0
1999,1,1,4,0,-2.0,-5.0,78.0,1/1/2017 3:00,9.4,12,0.0,0.0
1999,1,1,5,0,-2.0,-4.0,85.0,1/1/2017 4:00,9.4,12,0.0,0.0
1999,1,1,6,0,-1.0,-2.0,92.0,1/1/2017 5:00,9.4,12,170404600.0,0.0
1999,1,1,7,0,-1.0,-1.0,100.0,1/1/2017 6:00,9.4,12,124594870.0,0.0
1999,1,1,8,0,-1.0,-1.0,100.0,1/1/2017 7:00,9.4,12,342130500.0,0.0
1999,1,1,9,0,0.0,-1.0,92.0,1/1/2017 8:00,9.4,12,198674100.0,37897.7
1999,1,1,10,0,2.0,-1.0,80.0,1/1/2017 9:00,9.4,12,221437900.0,262606.5
1999,1,1,11,0,2.0,-1.0,80.0,1/1/2017 10:00,9.4,12,184289500.0,242673.2
1999,1,1,12,0,1.0,-2.0,79.0,1/1/2017 11:00,9.4,12,131363440.0,341236.6
1999,1,1,13,0,3.0,-3.0,63.0,1/1/2017 12:00,9.4,12,182732700.0,679264.9
1999,1,1,14,0,2.0,-4.0,62.0,1/1/2017 13:00,9.4,12,192204700.0,578355.9
1999,1,1,15,0,1.0,-4.0,67.0,1/1/2017 14:00,9.4,12,152716180.0,578355.9
1999,1,1,16,0,1.0,-4.0,67.0,1/1/2017 15:00,9.4,12,156319680.0,242248.95
1999,1,1,17,0,0.0,-3.9,72.0,1/1/2017 16:00,9.4,12,156319680.0,135346.15
1999,1,1,18,0,-1.0,-4.0,78.0,1/1/2017 17:00,9.4,12,172514420.0,165554.35
1999,1,1,19,0,-2.0,-6.0,71.0,1/1/2017 18:00,9.4,12,127338600.0,321773.9
1999,1,1,20,0,-4.0,-8.0,71.0,1/1/2017 19:00,9.4,12,141191600.0,418668.4
1999,1,1,21,0,-5.0,-7.0,84.0,1/1/2017 20:00,9.4,12,141191600.0,175746.99
1999,1,1,22,0,-6.0,-6.0,100.0,1/1/2017 21:00,9.4,12,145154200.0,0.0
1999,1,1,23,0,-7.0,-9.0,84.0,1/1/2017 22:00,9.4,12,0.0,0.0
